track_id,num_artists,artist_names,primary_artist,avg_artist_popularity,max_artist_popularity,min_artist_popularity,total_artist_followers,avg_artist_followers,max_artist_followers,artist_genres
4o6dYxgEN6ZIlY8rwdrSPz,1,Van Halen,Van Halen,70.0,70,70,6831608,6831608.0,6831608,"rock,glam metal,hard rock,classic rock"
2bzwRD4vAbK2xE5Joddb4f,1,Cynthia,Cynthia,37.0,37,37,65586,65586.0,65586,"miami bass,funk melody,freestyle,chicago house,latin hip hop,hi-nrg"
4cplybBIoPdrvvH7lpJY1z,2,Jaden|SYRE,Jaden,42.5,63,22,1948580,974290.0,1944040,
2IZtwLNkaDOTV2nHpaj9MZ,3,Richard Vission|Sven Kirchhof|Raquelle,Richard Vission,12.666666666666666,36,0,8193,2731.0,7260,
2AA1cr6PJYVnZSbocLaTFX,2,Suave|Hozay,Suave,2.5,3,2,1304,652.0,812,
2lNm3PtNIj5DDZa96edje6,1,Jan Hammer,Jan Hammer,45.0,45,45,66356,66356.0,66356,jazz fusion
7x7kYJwduClF3I0ozJpNsZ,1,LL COOL J,LL COOL J,61.0,61,61,1883801,1883801.0,1883801,"old school hip hop,east coast hip hop"
1usoXi4f0BnMART4uActEA,3,Lalo Ebratt|J Balvin|Trapical,Lalo Ebratt,63.333333333333336,85,45,40955042,13651680.666666666,39040038,"latin,reggaeton"
7kKLHjFif3r0HG5YyBTv6d,1,Royal Deluxe,Royal Deluxe,48.0,48,48,139199,139199.0,139199,
390nm0YPbjdHpc4W1IuVxv,1,VYLW,VYLW,11.0,11,11,1178,1178.0,1178,"cedm,gospel r&b,christian pop"
17NW5LLmN6PXrUdknZ6iT1,1,Kidd Keo,Kidd Keo,67.0,67,67,2999738,2999738.0,2999738,"argentine trap,trap"
7HNiUkrlU7nJeVi2YCq8ZX,1,Yung Skii,Yung Skii,0.0,0,0,1238,1238.0,1238,
371VkfwKiXJxgH5ZPoQNHD,1,Steve Miller Band,Steve Miller Band,65.0,65,65,3342912,3342912.0,3342912,classic rock
61SiFnjiY36uVSTBVXK5Yw,1,Life Sounds Nature,Life Sounds Nature,44.0,44,44,2085,2085.0,2085,
7mzP1H0tpLX84LJbpJtD9D,1,Dylan 'N' Alice,Dylan 'N' Alice,4.0,4,4,917,917.0,917,
5vNivpfJaXsTpYpxIHsjvm,1,Howard Hewett,Howard Hewett,37.0,37,37,340190,340190.0,340190,quiet storm
3r9JScgtH2FiAQ9bwThV0U,1,Estelle,Estelle,64.0,64,64,383348,383348.0,383348,
2HvMyC2NoRJceu6Lgbn4lS,1,Dynoro,Dynoro,61.0,61,61,314819,314819.0,314819,
0opxSp0Jw0RgsQBy1qDwNb,2,Fler|Sentino,Fler,57.0,65,49,637935,318967.5,387906,german hip hop
4i6wwcBc3Qrqir83xBdbM6,1,Elton John,Elton John,80.0,80,80,15491567,15491567.0,15491567,
7uCDNfNCqcJT1y7ZR5kP6t,1,The Knack,The Knack,51.0,51,51,283868,283868.0,283868,power pop
3LlAyCYU26dvFZBDUIMb7a,1,Imagine Dragons,Imagine Dragons,84.0,84,84,58271403,58271403.0,58271403,
3q3pZHncNkvIWJebMeuQqQ,1,Christopher Wilde,Christopher Wilde,50.0,50,50,214029,214029.0,214029,
0RQEDIV1tgkz66llhdUqJi,1,The Years Gone By,The Years Gone By,4.0,4,4,3523,3523.0,3523,pop punk
4sdIuwRDXVZEKhs8ZY897a,1,Ohio Players,Ohio Players,45.0,45,45,702662,702662.0,702662,"funk,soul,classic soul"
03cHvWSHWQ6zRNFMes0OdZ,3,Mike Mago|Dog Collective|Nihil Young,Mike Mago,26.0,37,8,59358,19786.0,49322,"future house,progressive house,melodic house,melodic techno"
3eRvE11OJfCYnaZwCFhMZD,2,Gavin James|Mark McCabe,Gavin James,47.5,54,41,724291,362145.5,716996,
4918TwZfPrxk8vKhuaqIiq,3,Dynoro|Ina Wroldsen|Tiësto,Dynoro,65.33333333333333,79,56,8474923,2824974.3333333335,7965104,"norwegian pop,edm,big room,trance,house"
7ppgB5qYI5nhpWg7e1tvM8,1,GHOST DATA,GHOST DATA,42.0,42,42,141485,141485.0,141485,vaporwave
6oyeeA0sHwHM1pPpZaIsrD,1,$uicideboy$,$uicideboy$,83.0,83,83,8929323,8929323.0,8929323,"cloud rap,horrorcore,emo rap,trap metal,underground hip hop"
3vxpjYukjL07Vdzw7wIJtC,1,Dwele,Dwele,66.0,66,66,313748,313748.0,313748,neo soul
7HqoRcDRp7zNjbXAlt3r8b,1,The Bloody Beetroots,The Bloody Beetroots,44.0,44,44,245010,245010.0,245010,electro house
6QMAf9jRnc0w61og2W4Qzu,2,NERVO|Skazi,NERVO,45.5,50,41,859955,429977.5,728515,"psytrance,progressive trance,trance"
1kzCW1BcPju60Af3H3x3pA,2,YunginReckless|Jitt,YunginReckless,15.5,20,11,1701,850.5,1392,
01D4b305MQyfJfiHHsHkQu,1,Blvckross,Blvckross,18.0,18,18,1420,1420.0,1420,
7HZKPjrStKgnQSigwWEvia,1,ANAVITÓRIA,ANAVITÓRIA,72.0,72,72,7434688,7434688.0,7434688,"brazilian pop,mpb,nova mpb"
4KvPvz7bxMRqWeoIMFLSs3,3,Dash Berlin|3LAU|Bright Lights,Dash Berlin,50.0,61,41,934643,311547.6666666667,584816,"big room,trance,electronica,edm"
5YNthZljl3VVkWKWzL0gQv,1,Cultivo,Cultivo,0.0,0,0,163,163.0,163,jazz rap
4zEvxRDaKDoFlHxK7Hy0wg,1,The Cranberries,The Cranberries,75.0,75,75,5371166,5371166.0,5371166,
7soJgKhQTO8hLP2JPRkL5O,1,Charlie Puth,Charlie Puth,79.0,79,79,25242392,25242392.0,25242392,"pop,soft pop"
5ysBPkopQGiMIl6zDYGZTn,2,Pitbull|Stephen Marley,Pitbull,71.0,83,59,12610972,6305486.0,11888012,"ragga,reggae,roots reggae"
3X7abqSXC4xrxuC1ykpWcY,1,Bon Jovi,Bon Jovi,77.0,77,77,15743884,15743884.0,15743884,"glam metal,rock"
5JdNrqdRbwYoZeuErHRf1J,1,Jamila Woods,Jamila Woods,48.0,48,48,237123,237123.0,237123,alternative r&b
6WE7jSshLCuVKoCmobVKVf,1,Led Zeppelin,Led Zeppelin,75.0,75,75,15937302,15937302.0,15937302,"rock,rock and roll,hard rock,classic rock"
